country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
Lithuania,2015,0.0003644013611065,11.3028578201847,13.5,14300.2553666736,70.0,28.2,34.6
Lithuania,2016,0.0003151931254585,10.2329418108878,12.2,14981.6208126311,64.66666666666667,28.6,37.06923076923077
Lithuania,2017,0.0003408185828129,9.79993642739852,11.5,16884.7100319318,72.0,29.0,37.06923076923077
Malta,2000,0.0002555033415829,17.5416711633875,5.7,10348.4865480967,75.0,28.3,33.0
Malta,2001,0.0001873093662188,17.3739401649506,5.7,10357.7040358668,80.83333333333333,28.8,29.09166666666667
Malta,2002,0.0002192890141098,17.1607690400214,5.8,11251.2060862043,80.83333333333333,29.3,29.09166666666667
Malta,2003,0.0002170047535462,16.9496741589384,6.0,13593.974199672,80.83333333333333,29.8,29.09166666666667
Malta,2004,0.0001781723239642,16.7881718920403,6.2,15212.1267402818,80.83333333333333,30.3,29.09166666666667
Malta,2005,0.000198730669037,16.7237786096657,6.9,15831.3440511034,77.0,30.8,30.7
Malta,2006,0.0002352788380553,16.7590769231956,7.4,16653.607176998,80.83333333333333,31.3,29.09166666666667
Malta,2007,0.0002444158803099,16.8432498246899,7.7,19444.1875016088,80.83333333333333,31.7,30.0
Malta,2008,0.0002329945774917,16.9437142555058,7.4,22315.3198630182,80.83333333333333,32.1,29.09166666666667
Malta,2009,0.0002284260563644,17.0278871570001,7.1,21176.3112406361,80.83333333333333,32.4,29.09166666666667
Malta,2010,0.0003462645222146,17.06318547053,7.1,21946.6069676515,79.0,32.7,28.8
Malta,2011,0.0002855325704555,16.1027075945735,7.2,23516.9691249323,80.83333333333333,32.9,29.09166666666667
Malta,2012,0.0002649742253827,14.106355803411,7.4,22878.313086001,80.83333333333333,33.0,29.09166666666667
Malta,2013,0.0002444158803099,13.3766872999129,7.5,25346.5236450477,80.83333333333333,33.1,29.09166666666667
Malta,2014,0.0002878168310192,13.4804864315632,7.7,27356.6080303021,80.83333333333333,33.2,29.09166666666667
Malta,2015,0.0003022478037754,13.6814730924333,8.1,25481.8977555627,85.0,33.3,26.8
Malta,2016,0.0003380705634193,12.5325633579629,8.6,26409.6285858968,80.83333333333333,33.4,29.09166666666667
Malta,2017,0.0003060909155283,12.9026022733936,8.9,30259.3952629768,85.0,33.5,29.09166666666667
New Zealand,2000,0.0002871397200608,6.92139404317208,8.9,13641.1027183822,75.0,21.8,30.4
New Zealand,2001,0.0002394428977546,6.85958648572071,8.9,13882.8568268586,81.6,22.7,22.880000000000003
New Zealand,2002,0.0002399119337933,6.7529232983427,8.9,16874.1874918196,81.6,23.6,22.880000000000003
New Zealand,2003,0.0002840013214308,6.63654227442674,9.1,21913.7081719961,81.6,24.4,22.880000000000003
New Zealand,2004,0.000286815537663,6.54558120736157,9.1,25420.234882944,81.6,25.2,22.880000000000003
New Zealand,2005,0.0002567972311864,6.51517789053587,9.3,27751.0654708859,80.0,25.9,24.8
New Zealand,2006,0.0002682886141345,6.57279629787026,9.3,26654.5932018985,81.6,26.6,22.880000000000003
New Zealand,2007,0.0002711028303667,6.69225241519321,9.3,32479.9817381467,81.6,27.3,22.7
New Zealand,2008,0.0002779038529278,6.82821205375524,9.3,31252.9625640673,81.6,27.9,22.880000000000003
New Zealand,2009,0.0002919749340887,6.93534102480686,9.4,28209.3623271229,81.6,28.5,22.880000000000003
New Zealand,2010,0.0002813863072775,6.96830513959859,9.4,33676.7741239925,82.0,29.1,20.1
New Zealand,2011,0.0003041698710948,6.74391297899936,9.4,38388.5280906616,81.6,29.6,22.880000000000003
New Zealand,2012,0.0003093292675204,6.77378849107112,9.2,39974.2997334925,81.6,30.0,22.880000000000003
